epoch,step,train_loss
1,0,0.825371
1,1,0.841579
1,2,0.807971
1,3,0.796959
1,4,0.830240
1,5,0.796022
1,6,0.797354
1,7,0.822612
1,8,0.779460
1,9,0.785066
1,10,0.831412
1,11,0.791291
1,12,0.797862
1,13,0.795498
1,14,0.745381
1,15,0.781139
1,16,0.803625
1,17,0.816371
1,18,0.773913
1,19,0.785572
1,20,0.775921
1,21,0.753657
1,22,0.803741
1,23,0.772410
1,24,0.767482
1,25,0.746282
1,26,0.792705
2,0,0.755589
2,1,0.755107
2,2,0.779137
2,3,0.796596
2,4,0.821730
2,5,0.726344
2,6,0.739356
2,7,0.751266
2,8,0.701484
2,9,0.737856
2,10,0.782708
2,11,0.713059
2,12,0.781555
2,13,0.711048
2,14,0.732032
2,15,0.737236
2,16,0.703291
2,17,0.756910
2,18,0.794788
2,19,0.724158
2,20,0.759618
2,21,0.730940
2,22,0.766225
2,23,0.688236
2,24,0.771628
2,25,0.811197
2,26,0.740388
3,0,0.675542
3,1,0.804195
3,2,0.719809
3,3,0.738700
3,4,0.727384
3,5,0.700620
3,6,0.737803
3,7,0.711535
3,8,0.725451
3,9,0.762120
3,10,0.740139
3,11,0.718378
3,12,0.713371
3,13,0.789099
3,14,0.716798
3,15,0.699912
3,16,0.709222
3,17,0.767756
3,18,0.713890
3,19,0.729423
3,20,0.755505
3,21,0.745505
3,22,0.695781
3,23,0.725613
3,24,0.686539
3,25,0.700299
3,26,0.757996
4,0,0.698975
4,1,0.660857
4,2,0.713492
4,3,0.648310
4,4,0.666069
4,5,0.750372
4,6,0.712515
4,7,0.738079
4,8,0.741450
4,9,0.744493
4,10,0.743282
4,11,0.734499
4,12,0.734230
4,13,0.724241
4,14,0.709877
4,15,0.713763
4,16,0.728530
4,17,0.677724
4,18,0.763246
4,19,0.717575
4,20,0.693858
4,21,0.697412
4,22,0.705209
4,23,0.727255
4,24,0.719941
4,25,0.687645
4,26,0.686895
5,0,0.633409
5,1,0.732648
5,2,0.707088
5,3,0.698998
5,4,0.642726
5,5,0.719090
5,6,0.666227
5,7,0.735935
5,8,0.714687
5,9,0.678858
5,10,0.682253
5,11,0.710147
5,12,0.742249
5,13,0.654430
5,14,0.704392
5,15,0.732016
5,16,0.692669
5,17,0.672874
5,18,0.664073
5,19,0.696375
5,20,0.703564
5,21,0.717255
5,22,0.726213
5,23,0.733401
5,24,0.690112
5,25,0.749873
5,26,0.725890
6,0,0.675351
6,1,0.677296
6,2,0.686239
6,3,0.634685
6,4,0.745893
6,5,0.712379
6,6,0.719266
6,7,0.684592
6,8,0.693403
6,9,0.722126
6,10,0.710375
6,11,0.706947
6,12,0.715406
6,13,0.736341
6,14,0.686639
6,15,0.764230
6,16,0.628302
6,17,0.672289
6,18,0.719714
6,19,0.674797
6,20,0.687235
6,21,0.653557
6,22,0.676217
6,23,0.666467
6,24,0.676553
6,25,0.627270
6,26,0.771711
7,0,0.650210
