epoch,step,train_loss
1,0,0.801559
1,1,0.770268
1,2,0.790069
1,3,0.786856
1,4,0.781771
1,5,0.788155
1,6,0.803613
1,7,0.792937
1,8,0.779992
1,9,0.718394
1,10,0.774204
1,11,0.740815
1,12,0.711054
1,13,0.697955
1,14,0.720407
1,15,0.728183
1,16,0.734522
1,17,0.719730
1,18,0.734940
1,19,0.755712
1,20,0.744466
1,21,0.725591
1,22,0.751860
1,23,0.746356
1,24,0.689324
1,25,0.748695
1,26,0.762771
1,27,0.727356
1,28,0.694776
1,29,0.701914
1,30,0.737266
1,31,0.731870
1,32,0.734658
1,33,0.714549
1,34,0.660380
1,35,0.703019
1,36,0.734537
1,37,0.732991
1,38,0.776273
1,39,0.687177
1,40,0.718636
1,41,0.680163
1,42,0.696743
1,43,0.651831
2,0,0.760912
2,1,0.726022
2,2,0.699750
2,3,0.690162
2,4,0.708185
2,5,0.671719
2,6,0.665923
2,7,0.725735
2,8,0.639615
2,9,0.684120
2,10,0.663229
2,11,0.691914
2,12,0.651782
2,13,0.655668
2,14,0.694852
2,15,0.661906
2,16,0.671133
2,17,0.667520
2,18,0.703379
2,19,0.647220
2,20,0.756311
2,21,0.706124
2,22,0.644962
2,23,0.719783
2,24,0.673231
2,25,0.714118
2,26,0.636469
2,27,0.724247
2,28,0.640169
2,29,0.614402
2,30,0.633509
2,31,0.671621
2,32,0.680971
2,33,0.637949
2,34,0.667100
2,35,0.665713
2,36,0.679245
2,37,0.717285
2,38,0.643518
2,39,0.670782
2,40,0.655391
2,41,0.671786
2,42,0.667589
2,43,0.624455
3,0,0.648169
3,1,0.628823
3,2,0.646434
3,3,0.671843
3,4,0.658201
3,5,0.690005
3,6,0.684430
3,7,0.617465
3,8,0.721659
3,9,0.750798
3,10,0.670185
3,11,0.647264
3,12,0.686174
3,13,0.654164
3,14,0.600599
3,15,0.645098
3,16,0.687459
3,17,0.606752
3,18,0.643467
3,19,0.591327
3,20,0.619802
3,21,0.603226
3,22,0.657302
3,23,0.610039
3,24,0.618019
3,25,0.643370
3,26,0.584445
3,27,0.641636
3,28,0.656677
3,29,0.675215
3,30,0.669512
3,31,0.654867
3,32,0.597341
3,33,0.661891
3,34,0.634605
3,35,0.533703
3,36,0.589360
3,37,0.658890
3,38,0.645195
3,39,0.643093
3,40,0.665842
3,41,0.592242
3,42,0.669435
3,43,0.702602
4,0,0.559720
4,1,0.594805
4,2,0.649127
4,3,0.710582
4,4,0.655137
4,5,0.622656
4,6,0.629606
4,7,0.684924
4,8,0.591121
4,9,0.612317
4,10,0.637866
4,11,0.657257
4,12,0.665161
4,13,0.593447
4,14,0.655035
4,15,0.619474
4,16,0.630310
4,17,0.659972
4,18,0.594979
4,19,0.618441
4,20,0.681437
4,21,0.522533
4,22,0.558073
4,23,0.589195
4,24,0.619556
4,25,0.589748
4,26,0.652071
4,27,0.615930
4,28,0.606425
4,29,0.560031
4,30,0.619464
4,31,0.609105
4,32,0.628355
4,33,0.600699
4,34,0.617908
4,35,0.641982
4,36,0.592896
4,37,0.665008
4,38,0.576125
4,39,0.659408
4,40,0.683279
4,41,0.610265
4,42,0.609799
4,43,0.639290
5,0,0.590948
5,1,0.660033
5,2,0.576977
5,3,0.623764
5,4,0.631616
5,5,0.620607
5,6,0.576984
5,7,0.668604
5,8,0.632789
5,9,0.657688
5,10,0.597869
5,11,0.620250
5,12,0.559381
5,13,0.663105
5,14,0.659512
5,15,0.642035
5,16,0.627257
5,17,0.541316
5,18,0.607704
5,19,0.613330
5,20,0.619536
5,21,0.617009
5,22,0.605736
5,23,0.618183
5,24,0.645287
5,25,0.613329
5,26,0.608721
5,27,0.595958
5,28,0.601173
5,29,0.643999
5,30,0.604024
5,31,0.546823
5,32,0.622045
5,33,0.583683
5,34,0.570248
5,35,0.605931
5,36,0.655999
5,37,0.589793
5,38,0.594764
5,39,0.535400
5,40,0.572747
5,41,0.637639
5,42,0.601577
5,43,0.585093
6,0,0.581103
6,1,0.596033
6,2,0.578737
6,3,0.651700
6,4,0.599995
6,5,0.532863
6,6,0.656968
6,7,0.684857
6,8,0.598038
6,9,0.589341
6,10,0.570382
