epoch,step,train_loss
1,0,0.839260
1,1,0.831511
1,2,0.825952
1,3,0.828884
1,4,0.799362
1,5,0.780775
1,6,0.748649
1,7,0.747214
1,8,0.746328
1,9,0.748919
1,10,0.789336
1,11,0.806619
1,12,0.807403
1,13,0.760185
1,14,0.711238
1,15,0.736421
1,16,0.733616
1,17,0.727147
1,18,0.781810
1,19,0.818601
1,20,0.769369
1,21,0.803931
1,22,0.705556
1,23,0.743843
1,24,0.802455
1,25,0.632888
1,26,0.763939
2,0,0.758406
2,1,0.771082
2,2,0.784416
2,3,0.784045
2,4,0.688800
2,5,0.726036
2,6,0.724618
2,7,0.773425
2,8,0.790840
2,9,0.690385
2,10,0.720878
2,11,0.744625
2,12,0.715069
2,13,0.757633
2,14,0.763234
2,15,0.705643
2,16,0.730234
2,17,0.684886
2,18,0.732876
2,19,0.768994
2,20,0.718218
2,21,0.708106
2,22,0.734218
2,23,0.691321
2,24,0.681453
2,25,0.790465
2,26,0.749601
3,0,0.652040
3,1,0.741180
3,2,0.739430
3,3,0.746269
3,4,0.724643
3,5,0.716315
3,6,0.715185
3,7,0.714416
3,8,0.676159
3,9,0.766118
3,10,0.694810
3,11,0.775877
3,12,0.729979
3,13,0.696183
3,14,0.662846
3,15,0.707806
3,16,0.778129
3,17,0.748796
3,18,0.705628
3,19,0.754992
3,20,0.731607
3,21,0.676242
3,22,0.752719
3,23,0.746082
3,24,0.760942
3,25,0.721544
3,26,0.728224
4,0,0.735292
4,1,0.654905
4,2,0.685192
4,3,0.650479
4,4,0.701705
4,5,0.723686
4,6,0.727063
4,7,0.698330
4,8,0.715418
4,9,0.660316
4,10,0.749682
4,11,0.737321
4,12,0.728357
4,13,0.758672
4,14,0.723368
4,15,0.705318
4,16,0.724603
4,17,0.717419
4,18,0.754150
4,19,0.694221
4,20,0.759121
4,21,0.767227
4,22,0.691571
4,23,0.686150
4,24,0.702716
4,25,0.753173
4,26,0.794192
5,0,0.695190
5,1,0.702472
5,2,0.712047
5,3,0.678209
5,4,0.778014
5,5,0.721503
5,6,0.716159
5,7,0.748437
5,8,0.699625
5,9,0.732629
5,10,0.672492
5,11,0.676991
5,12,0.699122
5,13,0.688834
5,14,0.728391
5,15,0.713816
5,16,0.715026
5,17,0.730799
5,18,0.716818
5,19,0.697177
5,20,0.751534
5,21,0.697495
5,22,0.667850
5,23,0.757999
5,24,0.714286
5,25,0.719623
5,26,0.717543
6,0,0.693990
6,1,0.723315
6,2,0.713043
6,3,0.686791
6,4,0.695081
6,5,0.703962
6,6,0.683058
6,7,0.752731
6,8,0.735148
6,9,0.708591
6,10,0.675301
6,11,0.709937
6,12,0.728205
6,13,0.714038
6,14,0.704188
6,15,0.672682
6,16,0.738813
6,17,0.667542
6,18,0.662498
6,19,0.735058
6,20,0.711306
6,21,0.693089
6,22,0.703652
6,23,0.675552
6,24,0.701746
6,25,0.752948
6,26,0.685114
7,0,0.678531
7,1,0.673812
7,2,0.646869
7,3,0.711536
7,4,0.737812
7,5,0.674337
7,6,0.652116
7,7,0.669019
7,8,0.757018
7,9,0.725877
7,10,0.684183
7,11,0.739651
7,12,0.712479
7,13,0.692635
7,14,0.667721
7,15,0.689662
7,16,0.721048
7,17,0.736567
7,18,0.748741
7,19,0.733593
7,20,0.707655
7,21,0.687970
7,22,0.643504
7,23,0.670453
7,24,0.669229
7,25,0.689631
7,26,0.780056
8,0,0.730252
8,1,0.731198
8,2,0.722502
8,3,0.697152
8,4,0.677632
8,5,0.688586
8,6,0.667441
8,7,0.654442
8,8,0.690365
8,9,0.702419
8,10,0.720026
8,11,0.707479
8,12,0.717751
8,13,0.714177
8,14,0.701397
8,15,0.698417
8,16,0.650251
8,17,0.669584
8,18,0.727215
8,19,0.726672
8,20,0.748439
8,21,0.673528
8,22,0.686778
8,23,0.658531
8,24,0.609798
8,25,0.686452
8,26,0.654942
9,0,0.664907
9,1,0.654957
9,2,0.635850
9,3,0.763134
9,4,0.682245
9,5,0.678574
9,6,0.624337
9,7,0.696534
9,8,0.655546
9,9,0.703869
9,10,0.727206
9,11,0.730769
9,12,0.642297
9,13,0.711278
9,14,0.689376
9,15,0.654540
9,16,0.681127
9,17,0.712950
9,18,0.695102
9,19,0.698918
9,20,0.671074
9,21,0.715878
9,22,0.732425
9,23,0.697150
9,24,0.704964
9,25,0.682317
9,26,0.632835
10,0,0.735770
10,1,0.692710
10,2,0.674258
10,3,0.670774
10,4,0.695536
