epoch,step,train_loss
1,0,0.043466
1,1,0.045617
1,2,0.034362
1,3,0.057429
1,4,0.040171
1,5,0.061876
1,6,0.056767
1,7,0.038992
1,8,0.046060
1,9,0.039496
1,10,0.056136
1,11,0.039900
1,12,0.040923
1,13,0.045886
1,14,0.049496
1,15,0.061786
1,16,0.042642
1,17,0.052410
1,18,0.059170
1,19,0.038987
1,20,0.037655
1,21,0.051936
1,22,0.051604
1,23,0.053733
1,24,0.061638
1,25,0.047123
1,26,0.039888
1,27,0.038626
1,28,0.046062
1,29,0.051828
1,30,0.047662
1,31,0.037961
1,32,0.060498
1,33,0.042042
1,34,0.034270
1,35,0.042649
1,36,0.034378
1,37,0.037698
1,38,0.051621
1,39,0.049938
1,40,0.034537
1,41,0.050411
1,42,0.049658
1,43,0.039738
2,0,0.035490
2,1,0.061110
2,2,0.042821
2,3,0.038706
2,4,0.039086
2,5,0.070082
2,6,0.044261
2,7,0.056190
2,8,0.036012
2,9,0.042164
2,10,0.038461
2,11,0.052175
2,12,0.062232
2,13,0.041293
2,14,0.033926
2,15,0.059433
2,16,0.037553
2,17,0.062105
2,18,0.039832
2,19,0.047466
2,20,0.045914
2,21,0.059539
2,22,0.042361
2,23,0.036039
2,24,0.033402
2,25,0.046404
2,26,0.040299
2,27,0.040757
2,28,0.041531
2,29,0.046655
2,30,0.043061
2,31,0.037211
2,32,0.040742
2,33,0.047639
2,34,0.036340
2,35,0.036882
2,36,0.054994
2,37,0.038850
2,38,0.045023
2,39,0.034556
2,40,0.053927
2,41,0.047186
2,42,0.053886
2,43,0.039894
3,0,0.051618
3,1,0.036418
3,2,0.048134
3,3,0.051565
3,4,0.057023
3,5,0.049235
3,6,0.055150
3,7,0.036132
3,8,0.039042
3,9,0.058099
3,10,0.034988
3,11,0.038617
3,12,0.048084
3,13,0.042351
3,14,0.058885
3,15,0.056971
3,16,0.054111
3,17,0.032736
3,18,0.039756
3,19,0.036573
3,20,0.037477
3,21,0.040293
3,22,0.033323
3,23,0.035916
3,24,0.053108
3,25,0.053776
3,26,0.033052
3,27,0.059223
3,28,0.039573
3,29,0.032878
3,30,0.037356
3,31,0.061458
3,32,0.048155
3,33,0.036523
3,34,0.047624
3,35,0.048530
3,36,0.057315
3,37,0.034517
3,38,0.033286
3,39,0.038278
3,40,0.040524
3,41,0.040883
3,42,0.037289
3,43,0.039481
4,0,0.042849
4,1,0.038729
4,2,0.041415
4,3,0.039267
4,4,0.037204
4,5,0.034762
4,6,0.037598
4,7,0.045643
4,8,0.045263
4,9,0.039311
4,10,0.042426
4,11,0.039281
4,12,0.051316
4,13,0.054167
4,14,0.038682
4,15,0.037953
4,16,0.046872
4,17,0.045601
4,18,0.060850
4,19,0.045331
4,20,0.037664
4,21,0.048424
4,22,0.052902
4,23,0.049040
4,24,0.042865
4,25,0.047475
4,26,0.052417
4,27,0.034405
4,28,0.040596
4,29,0.045138
4,30,0.051272
4,31,0.057166
4,32,0.031158
4,33,0.036563
4,34,0.036665
4,35,0.040383
4,36,0.037157
4,37,0.051541
4,38,0.048918
4,39,0.036193
4,40,0.055748
4,41,0.052130
4,42,0.035697
4,43,0.040263
5,0,0.037539
5,1,0.036278
5,2,0.038158
5,3,0.049263
5,4,0.068560
5,5,0.051486
5,6,0.054253
5,7,0.034846
5,8,0.032613
5,9,0.028909
5,10,0.039321
5,11,0.046129
5,12,0.043723
5,13,0.044946
5,14,0.042959
5,15,0.045432
5,16,0.036859
5,17,0.031270
5,18,0.031155
5,19,0.042482
5,20,0.043911
5,21,0.039351
5,22,0.030488
5,23,0.038431
5,24,0.064671
5,25,0.037630
5,26,0.036291
5,27,0.046035
5,28,0.041788
5,29,0.051064
5,30,0.051379
5,31,0.050205
5,32,0.046129
5,33,0.058861
5,34,0.060936
5,35,0.041097
5,36,0.036087
5,37,0.046871
5,38,0.037440
5,39,0.042112
5,40,0.052926
5,41,0.041447
5,42,0.033763
5,43,0.039665
6,0,0.046582
6,1,0.031605
6,2,0.035677
6,3,0.040270
6,4,0.031769
6,5,0.038334
6,6,0.032075
6,7,0.063795
6,8,0.030342
6,9,0.040157
6,10,0.033466
6,11,0.046486
6,12,0.033528
6,13,0.031072
6,14,0.046749
6,15,0.059686
6,16,0.056128
6,17,0.039623
6,18,0.059276
6,19,0.040114
6,20,0.031221
6,21,0.044447
6,22,0.031839
6,23,0.034463
6,24,0.043908
6,25,0.051789
6,26,0.046699
6,27,0.034725
6,28,0.077452
6,29,0.042439
6,30,0.044239
6,31,0.046897
6,32,0.038810
6,33,0.039022
6,34,0.047672
6,35,0.034971
6,36,0.036874
6,37,0.037402
6,38,0.035721
6,39,0.036628
6,40,0.032511
6,41,0.035058
6,42,0.047316
6,43,0.063319
7,0,0.034050
7,1,0.037852
7,2,0.046814
7,3,0.032440
7,4,0.048784
7,5,0.035175
7,6,0.035817
7,7,0.043519
7,8,0.040790
7,9,0.029728
7,10,0.043377
7,11,0.028513
7,12,0.043275
7,13,0.031572
7,14,0.045853
7,15,0.052226
7,16,0.031329
7,17,0.036426
7,18,0.048436
7,19,0.037949
7,20,0.035792
7,21,0.054867
7,22,0.056379
7,23,0.044212
7,24,0.036349
7,25,0.044773
7,26,0.054224
7,27,0.030896
7,28,0.038630
7,29,0.067520
7,30,0.058374
7,31,0.046791
7,32,0.047030
7,33,0.030188
7,34,0.044059
7,35,0.035176
7,36,0.027102
7,37,0.047463
7,38,0.033565
7,39,0.033854
7,40,0.047053
7,41,0.044040
7,42,0.042615
7,43,0.030245
8,0,0.059410
8,1,0.029863
8,2,0.032298
8,3,0.029766
8,4,0.048678
8,5,0.032180
8,6,0.056076
8,7,0.033227
8,8,0.052765
8,9,0.031210
8,10,0.030104
8,11,0.058240
8,12,0.041358
8,13,0.047170
8,14,0.042196
8,15,0.041738
8,16,0.042197
8,17,0.037816
8,18,0.040966
8,19,0.047990
8,20,0.034276
8,21,0.051118
8,22,0.035050
8,23,0.032760
8,24,0.057075
8,25,0.042348
8,26,0.030013
8,27,0.033131
8,28,0.035678
8,29,0.040800
8,30,0.036233
8,31,0.029036
8,32,0.073737
8,33,0.030663
8,34,0.030833
8,35,0.044816
8,36,0.034755
8,37,0.047477
8,38,0.042044
8,39,0.035260
8,40,0.038328
8,41,0.041754
8,42,0.040849
8,43,0.032586
9,0,0.037917
9,1,0.038677
9,2,0.034593
9,3,0.051493
9,4,0.053766
9,5,0.052964
9,6,0.044338
9,7,0.037186
9,8,0.037649
9,9,0.041342
9,10,0.032417
9,11,0.029379
9,12,0.045328
9,13,0.034549
9,14,0.036367
9,15,0.030898
9,16,0.047111
9,17,0.028246
9,18,0.036484
9,19,0.032850
9,20,0.037768
9,21,0.056595
9,22,0.040438
9,23,0.028003
9,24,0.030945
9,25,0.038239
9,26,0.037549
9,27,0.031819
9,28,0.027948
9,29,0.039077
9,30,0.036529
9,31,0.039201
9,32,0.034122
9,33,0.049111
9,34,0.057897
9,35,0.047167
9,36,0.030557
9,37,0.036774
9,38,0.053131
9,39,0.041455
9,40,0.043657
9,41,0.049907
9,42,0.037629
9,43,0.047059
10,0,0.031970
10,1,0.036205
10,2,0.037364
10,3,0.042367
10,4,0.038082
10,5,0.030540
10,6,0.047268
10,7,0.034528
10,8,0.025671
10,9,0.045831
10,10,0.040180
10,11,0.039020
10,12,0.030940
10,13,0.048371
10,14,0.052461
10,15,0.035594
10,16,0.038001
10,17,0.038048
10,18,0.041767
10,19,0.038922
10,20,0.054178
10,21,0.030730
10,22,0.031755
10,23,0.038629
10,24,0.030980
10,25,0.049435
10,26,0.035848
10,27,0.033238
10,28,0.037787
10,29,0.029579
10,30,0.059555
10,31,0.029586
10,32,0.030437
10,33,0.043932
10,34,0.038411
10,35,0.040386
10,36,0.052577
10,37,0.040438
10,38,0.031951
10,39,0.047006
10,40,0.026842
10,41,0.040682
10,42,0.059404
10,43,0.051053
11,0,0.034365
11,1,0.033192
11,2,0.028900
11,3,0.051658
11,4,0.032665
11,5,0.038614
11,6,0.036696
11,7,0.031239
11,8,0.029399
11,9,0.050682
11,10,0.030427
11,11,0.037037
11,12,0.059921
11,13,0.039125
11,14,0.048285
11,15,0.028776
11,16,0.036141
11,17,0.049746
11,18,0.031329
11,19,0.040469
11,20,0.050214
11,21,0.030669
11,22,0.037139
11,23,0.047593
11,24,0.045674
11,25,0.035774
11,26,0.027192
11,27,0.034188
11,28,0.041302
11,29,0.046376
11,30,0.028985
11,31,0.052396
11,32,0.027465
11,33,0.031027
11,34,0.032822
11,35,0.036868
11,36,0.037445
11,37,0.045046
11,38,0.034773
11,39,0.042690
11,40,0.046508
11,41,0.031752
11,42,0.032447
11,43,0.034093
12,0,0.028771
12,1,0.046185
12,2,0.047212
12,3,0.044018
12,4,0.041075
12,5,0.035345
12,6,0.040040
12,7,0.045977
12,8,0.028951
12,9,0.026999
12,10,0.032870
12,11,0.064227
12,12,0.035149
12,13,0.038395
12,14,0.044984
12,15,0.029859
12,16,0.030148
12,17,0.025474
12,18,0.041273
12,19,0.037835
12,20,0.034101
12,21,0.043438
12,22,0.062421
12,23,0.033885
12,24,0.040969
12,25,0.031190
12,26,0.036614
12,27,0.040247
12,28,0.038066
12,29,0.039276
12,30,0.055259
12,31,0.035128
12,32,0.038070
12,33,0.034511
12,34,0.038091
12,35,0.030348
12,36,0.035724
12,37,0.033857
12,38,0.032004
12,39,0.029695
12,40,0.046888
12,41,0.028556
12,42,0.030769
12,43,0.036378
13,0,0.044287
13,1,0.032228
13,2,0.036536
13,3,0.044310
13,4,0.033805
13,5,0.038500
13,6,0.035241
13,7,0.038106
13,8,0.032614
13,9,0.034574
13,10,0.034260
13,11,0.042708
13,12,0.042816
13,13,0.051272
13,14,0.025992
13,15,0.041554
13,16,0.042726
13,17,0.029466
13,18,0.041202
13,19,0.027661
13,20,0.041164
13,21,0.035432
13,22,0.039244
