epoch,step,train_loss
1,0,0.322028
1,1,0.340866
1,2,0.366579
1,3,0.286900
1,4,0.309495
1,5,0.358712
1,6,0.268325
1,7,0.333332
1,8,0.307096
1,9,0.472798
1,10,0.344541
1,11,0.400894
1,12,0.435506
1,13,0.290386
1,14,0.277265
1,15,0.385213
1,16,0.357716
1,17,0.228291
1,18,0.437881
1,19,0.360202
1,20,0.331980
1,21,0.331298
1,22,0.296443
1,23,0.297727
1,24,0.254993
1,25,0.233281
1,26,0.242509
2,0,0.355239
2,1,0.389306
2,2,0.356422
2,3,0.322812
2,4,0.306663
2,5,0.441454
2,6,0.285239
2,7,0.347943
2,8,0.312297
2,9,0.300518
2,10,0.318580
2,11,0.337615
2,12,0.336390
2,13,0.255785
2,14,0.342955
2,15,0.297388
2,16,0.320593
2,17,0.346877
2,18,0.338897
2,19,0.360166
2,20,0.372150
2,21,0.320857
2,22,0.233645
2,23,0.363695
2,24,0.235880
2,25,0.250711
2,26,0.341853
3,0,0.239926
3,1,0.383251
3,2,0.317128
3,3,0.279596
3,4,0.386803
3,5,0.285600
3,6,0.306145
3,7,0.286392
3,8,0.257430
3,9,0.315300
3,10,0.284638
3,11,0.310562
3,12,0.374154
3,13,0.280770
3,14,0.315395
3,15,0.388992
3,16,0.271620
3,17,0.368153
3,18,0.372874
3,19,0.361530
3,20,0.362603
3,21,0.392820
3,22,0.284297
3,23,0.354106
3,24,0.270471
3,25,0.260003
3,26,0.346366
4,0,0.233003
4,1,0.337355
4,2,0.347862
4,3,0.334844
4,4,0.398426
4,5,0.330125
4,6,0.347273
4,7,0.336283
4,8,0.416231
4,9,0.284203
4,10,0.314259
4,11,0.329331
4,12,0.313595
4,13,0.269885
4,14,0.340487
4,15,0.272058
4,16,0.359835
4,17,0.295549
4,18,0.374992
4,19,0.260595
4,20,0.329245
4,21,0.295766
4,22,0.414538
4,23,0.236631
4,24,0.361415
4,25,0.349729
4,26,0.311659
5,0,0.396217
5,1,0.373943
5,2,0.314862
5,3,0.351466
5,4,0.213934
5,5,0.331767
5,6,0.320650
5,7,0.292598
5,8,0.396473
5,9,0.343796
5,10,0.258519
5,11,0.285299
5,12,0.313031
5,13,0.404355
5,14,0.307672
5,15,0.312497
5,16,0.327648
5,17,0.357338
5,18,0.334546
5,19,0.267832
5,20,0.309719
5,21,0.387688
5,22,0.376978
5,23,0.351750
5,24,0.240068
5,25,0.263263
5,26,0.174119
6,0,0.320990
6,1,0.306949
6,2,0.313562
6,3,0.326187
6,4,0.368976
6,5,0.224564
6,6,0.347436
6,7,0.289833
6,8,0.375255
6,9,0.397085
6,10,0.323007
6,11,0.309622
6,12,0.375852
6,13,0.281916
6,14,0.410001
6,15,0.281886
6,16,0.299756
6,17,0.386165
6,18,0.299265
6,19,0.292432
6,20,0.310751
6,21,0.327988
6,22,0.268518
6,23,0.361736
6,24,0.384389
6,25,0.242303
6,26,0.322063
7,0,0.333469
7,1,0.282794
7,2,0.339574
7,3,0.295182
7,4,0.328698
7,5,0.375356
7,6,0.363122
7,7,0.379942
7,8,0.351713
7,9,0.424505
7,10,0.271618
7,11,0.335873
7,12,0.293562
7,13,0.340868
7,14,0.258677
7,15,0.282030
7,16,0.226466
7,17,0.393446
7,18,0.333467
7,19,0.310827
7,20,0.258464
7,21,0.390368
7,22,0.322455
7,23,0.416951
7,24,0.279225
7,25,0.360528
7,26,0.415010
8,0,0.315219
8,1,0.335942
8,2,0.318671
8,3,0.309926
8,4,0.347677
8,5,0.320366
8,6,0.268435
8,7,0.276512
8,8,0.280352
8,9,0.292726
8,10,0.332535
8,11,0.248565
8,12,0.338418
8,13,0.406521
8,14,0.315129
8,15,0.408346
8,16,0.386095
8,17,0.390573
8,18,0.320946
8,19,0.321353
8,20,0.386876
8,21,0.338265
8,22,0.296736
8,23,0.301558
8,24,0.361982
8,25,0.303642
8,26,0.325290
9,0,0.258933
9,1,0.281083
9,2,0.363117
9,3,0.313026
9,4,0.375944
9,5,0.321885
9,6,0.308192
9,7,0.321416
9,8,0.238302
9,9,0.411279
9,10,0.233105
9,11,0.331445
9,12,0.285356
9,13,0.233488
9,14,0.280994
9,15,0.347892
9,16,0.358774
9,17,0.347661
9,18,0.292412
9,19,0.409899
9,20,0.293227
9,21,0.267670
9,22,0.361490
9,23,0.350795
9,24,0.399540
9,25,0.288033
9,26,0.415929
10,0,0.385557
10,1,0.314572
10,2,0.373363
10,3,0.280426
10,4,0.286447
10,5,0.318562
10,6,0.405329
10,7,0.375294
10,8,0.274238
10,9,0.365764
10,10,0.329594
10,11,0.339458
10,12,0.333222
10,13,0.293336
10,14,0.334427
10,15,0.264038
10,16,0.331598
10,17,0.263217
10,18,0.330715
10,19,0.245600
10,20,0.248851
10,21,0.318113
10,22,0.321508
10,23,0.341117
10,24,0.361513
10,25,0.290243
10,26,0.477951
11,0,0.276820
11,1,0.362071
11,2,0.271300
11,3,0.334987
11,4,0.345234
11,5,0.384849
11,6,0.306863
11,7,0.277878
11,8,0.309068
11,9,0.334621
11,10,0.369707
11,11,0.372290
11,12,0.475015
11,13,0.317051
11,14,0.311424
11,15,0.199369
11,16,0.395593
11,17,0.370335
11,18,0.354625
11,19,0.316448
11,20,0.338459
11,21,0.312447
11,22,0.233725
11,23,0.303814
11,24,0.414018
11,25,0.317974
11,26,0.307352
12,0,0.247825
12,1,0.378715
12,2,0.267685
12,3,0.244320
12,4,0.345930
12,5,0.300525
12,6,0.290810
12,7,0.250823
12,8,0.353386
12,9,0.392499
12,10,0.375230
12,11,0.388215
12,12,0.281716
12,13,0.267959
12,14,0.332792
12,15,0.366893
12,16,0.329857
12,17,0.233315
12,18,0.409192
12,19,0.340525
12,20,0.384311
12,21,0.396463
12,22,0.336932
12,23,0.365946
12,24,0.348917
12,25,0.371158
12,26,0.339335
13,0,0.363736
13,1,0.324825
13,2,0.358744
13,3,0.414184
13,4,0.308531
13,5,0.248412
13,6,0.250664
13,7,0.397305
13,8,0.447929
13,9,0.400730
13,10,0.337510
13,11,0.356204
13,12,0.286317
13,13,0.279925
13,14,0.350244
13,15,0.444912
13,16,0.435400
13,17,0.266260
13,18,0.370713
13,19,0.225265
13,20,0.392786
13,21,0.318048
13,22,0.312778
13,23,0.403078
13,24,0.324096
13,25,0.322322
13,26,0.290912
14,0,0.383748
14,1,0.421030
14,2,0.269544
14,3,0.344008
14,4,0.400282
14,5,0.316325
14,6,0.287417
14,7,0.304666
14,8,0.230590
14,9,0.305307
14,10,0.335215
14,11,0.279654
14,12,0.359436
14,13,0.454805
14,14,0.295276
14,15,0.349465
14,16,0.342496
14,17,0.221853
14,18,0.315533
14,19,0.345815
14,20,0.374489
14,21,0.291319
14,22,0.300466
14,23,0.279532
14,24,0.361983
14,25,0.324682
14,26,0.472603
15,0,0.387897
15,1,0.454503
15,2,0.290993
15,3,0.243265
15,4,0.301176
15,5,0.303854
15,6,0.304975
15,7,0.392246
15,8,0.384572
15,9,0.365203
15,10,0.388389
15,11,0.343548
15,12,0.224040
15,13,0.279194
15,14,0.341320
15,15,0.286581
15,16,0.379153
15,17,0.335678
15,18,0.279431
15,19,0.330977
15,20,0.312281
15,21,0.302442
15,22,0.360532
15,23,0.359198
15,24,0.380176
15,25,0.438221
15,26,0.394276
16,0,0.328966
16,1,0.318262
16,2,0.443461
16,3,0.376591
16,4,0.388998
16,5,0.274831
16,6,0.259170
16,7,0.293547
16,8,0.311408
16,9,0.343184
16,10,0.439483
16,11,0.245099
16,12,0.324070
16,13,0.360214
16,14,0.348592
16,15,0.310837
16,16,0.316716
16,17,0.361291
16,18,0.326215
16,19,0.400262
16,20,0.353778
16,21,0.402604
16,22,0.398478
16,23,0.391758
16,24,0.360496
16,25,0.380904
16,26,0.422055
17,0,0.360708
17,1,0.353158
17,2,0.361428
17,3,0.342437
17,4,0.386333
17,5,0.402775
17,6,0.343463
17,7,0.328372
17,8,0.283714
17,9,0.318956
17,10,0.366552
17,11,0.269911
17,12,0.310612
17,13,0.315316
17,14,0.331321
17,15,0.341930
17,16,0.378832
17,17,0.349558
17,18,0.389662
17,19,0.302632
17,20,0.299211
17,21,0.295093
17,22,0.329946
17,23,0.421645
17,24,0.291963
17,25,0.285273
17,26,0.360063
18,0,0.399476
18,1,0.297132
18,2,0.264727
18,3,0.405864
18,4,0.231053
18,5,0.379835
18,6,0.401582
18,7,0.329095
18,8,0.456055
18,9,0.390691
18,10,0.352274
18,11,0.359428
18,12,0.346427
18,13,0.289425
18,14,0.357063
18,15,0.400506
18,16,0.327826
18,17,0.360265
18,18,0.267128
18,19,0.395355
18,20,0.348768
18,21,0.318318
18,22,0.327065
