epoch,step,train_loss
1,0,0.332434
1,1,0.463628
1,2,0.419039
1,3,0.373056
1,4,0.438918
1,5,0.439284
1,6,0.470029
1,7,0.430318
1,8,0.323650
1,9,0.350633
1,10,0.462931
1,11,0.438342
1,12,0.481695
1,13,0.378466
1,14,0.524186
1,15,0.387545
1,16,0.386811
1,17,0.429384
1,18,0.370635
1,19,0.396204
1,20,0.418439
1,21,0.355161
1,22,0.426399
1,23,0.404972
1,24,0.456100
1,25,0.387620
1,26,0.370191
1,27,0.365728
1,28,0.417952
1,29,0.444895
1,30,0.339369
1,31,0.387664
1,32,0.401253
1,33,0.418808
1,34,0.428238
1,35,0.550603
1,36,0.393397
1,37,0.351291
1,38,0.330556
1,39,0.411056
1,40,0.430504
1,41,0.453563
1,42,0.336997
1,43,0.395854
2,0,0.426033
2,1,0.388650
2,2,0.333957
2,3,0.450488
2,4,0.508149
2,5,0.466566
2,6,0.303295
2,7,0.429030
2,8,0.338499
2,9,0.422023
2,10,0.410931
2,11,0.407861
2,12,0.345211
2,13,0.338601
2,14,0.335214
2,15,0.437599
2,16,0.437163
2,17,0.354335
2,18,0.382206
2,19,0.434602
2,20,0.392948
2,21,0.373388
2,22,0.517184
2,23,0.313240
2,24,0.455576
2,25,0.349686
2,26,0.390396
2,27,0.406092
2,28,0.393801
2,29,0.521161
2,30,0.351508
2,31,0.385034
2,32,0.338678
2,33,0.449856
2,34,0.441578
2,35,0.413181
2,36,0.453392
2,37,0.414786
2,38,0.409726
2,39,0.459670
2,40,0.471585
2,41,0.445737
2,42,0.413862
2,43,0.346754
3,0,0.407603
3,1,0.328129
3,2,0.400324
3,3,0.384812
3,4,0.415977
3,5,0.425363
3,6,0.393677
3,7,0.321756
3,8,0.325419
3,9,0.404263
3,10,0.324424
3,11,0.513630
3,12,0.551244
3,13,0.425532
3,14,0.510151
3,15,0.424736
3,16,0.443719
3,17,0.354441
3,18,0.383803
3,19,0.372431
3,20,0.469472
3,21,0.422858
3,22,0.402961
3,23,0.438032
3,24,0.419778
3,25,0.433193
3,26,0.395897
3,27,0.462647
3,28,0.395024
3,29,0.408327
3,30,0.489802
3,31,0.377120
3,32,0.436713
3,33,0.351366
3,34,0.386125
3,35,0.390320
3,36,0.353822
3,37,0.481429
3,38,0.375250
3,39,0.413789
3,40,0.481142
3,41,0.361066
3,42,0.388888
3,43,0.339046
4,0,0.387822
4,1,0.520953
4,2,0.343869
4,3,0.314395
4,4,0.450867
4,5,0.392964
4,6,0.350440
4,7,0.424020
4,8,0.401261
4,9,0.350764
4,10,0.410850
4,11,0.376594
4,12,0.472240
4,13,0.386038
4,14,0.456023
4,15,0.452737
4,16,0.327439
4,17,0.414172
4,18,0.368565
4,19,0.383839
4,20,0.498730
4,21,0.444887
4,22,0.373012
4,23,0.361405
4,24,0.396023
4,25,0.349976
4,26,0.397167
4,27,0.497912
4,28,0.376755
4,29,0.446322
4,30,0.398129
4,31,0.399857
4,32,0.429898
4,33,0.409807
4,34,0.402791
4,35,0.454534
4,36,0.359608
4,37,0.346175
4,38,0.394536
4,39,0.467522
4,40,0.609689
4,41,0.470505
4,42,0.366170
4,43,0.418922
5,0,0.363038
5,1,0.427222
5,2,0.392567
5,3,0.409000
5,4,0.382878
5,5,0.338572
5,6,0.443996
5,7,0.405769
5,8,0.444561
5,9,0.343935
5,10,0.416259
5,11,0.435062
5,12,0.448594
5,13,0.370659
5,14,0.453865
5,15,0.429966
5,16,0.389776
5,17,0.421861
5,18,0.322636
5,19,0.339106
5,20,0.449039
5,21,0.360203
5,22,0.377078
5,23,0.351277
5,24,0.416075
5,25,0.397463
5,26,0.394481
5,27,0.455191
5,28,0.406930
5,29,0.400833
5,30,0.542009
5,31,0.414015
5,32,0.386239
5,33,0.382022
5,34,0.449977
5,35,0.284402
5,36,0.321693
5,37,0.515649
5,38,0.485320
5,39,0.443383
5,40,0.406509
5,41,0.388591
5,42,0.356651
5,43,0.439235
6,0,0.423786
6,1,0.429945
6,2,0.500111
6,3,0.430497
6,4,0.343375
6,5,0.455382
6,6,0.455371
6,7,0.383419
6,8,0.417458
6,9,0.405858
6,10,0.454509
6,11,0.490714
6,12,0.501247
6,13,0.372736
6,14,0.412342
6,15,0.345704
6,16,0.343775
6,17,0.364824
6,18,0.456204
6,19,0.393324
6,20,0.360257
6,21,0.401767
6,22,0.465521
6,23,0.424423
6,24,0.334185
6,25,0.383145
6,26,0.469984
6,27,0.456225
6,28,0.476090
6,29,0.434042
6,30,0.424431
6,31,0.415436
6,32,0.428253
6,33,0.494781
6,34,0.290005
6,35,0.334572
6,36,0.411169
6,37,0.416096
6,38,0.384266
6,39,0.404059
6,40,0.367814
6,41,0.412257
6,42,0.377580
6,43,0.463684
7,0,0.541976
7,1,0.419668
7,2,0.367886
7,3,0.380290
7,4,0.447229
7,5,0.408560
7,6,0.285473
7,7,0.303688
7,8,0.353630
7,9,0.463626
7,10,0.401901
7,11,0.422241
7,12,0.362219
7,13,0.346712
7,14,0.416559
7,15,0.382706
7,16,0.451493
7,17,0.421408
7,18,0.516589
7,19,0.474480
7,20,0.401004
7,21,0.398340
7,22,0.398152
7,23,0.313038
7,24,0.428937
7,25,0.456597
7,26,0.461959
7,27,0.325678
7,28,0.436025
7,29,0.505643
7,30,0.426317
7,31,0.458695
7,32,0.419590
7,33,0.455426
7,34,0.450186
7,35,0.414343
7,36,0.449404
7,37,0.465908
7,38,0.391310
7,39,0.364483
7,40,0.412483
7,41,0.368306
7,42,0.455379
7,43,0.443051
8,0,0.406889
8,1,0.449063
8,2,0.334170
8,3,0.433820
8,4,0.449275
8,5,0.304496
8,6,0.406464
8,7,0.478036
8,8,0.457590
8,9,0.521989
8,10,0.467112
8,11,0.381413
8,12,0.455501
8,13,0.357995
8,14,0.433354
8,15,0.354324
8,16,0.446809
8,17,0.427038
8,18,0.414472
8,19,0.347919
8,20,0.412332
8,21,0.380347
8,22,0.406012
8,23,0.348035
8,24,0.374613
8,25,0.423567
8,26,0.519095
8,27,0.438825
8,28,0.451908
8,29,0.451184
8,30,0.460652
8,31,0.462967
8,32,0.438804
8,33,0.477083
8,34,0.421639
8,35,0.357510
8,36,0.372716
8,37,0.308570
8,38,0.426538
8,39,0.380920
8,40,0.518516
8,41,0.374077
8,42,0.348355
8,43,0.406580
9,0,0.316393
9,1,0.471010
9,2,0.507325
9,3,0.459411
9,4,0.458615
9,5,0.403152
9,6,0.300972
9,7,0.505070
9,8,0.383996
9,9,0.377330
9,10,0.379234
9,11,0.382885
9,12,0.397703
9,13,0.449009
9,14,0.361878
9,15,0.509520
9,16,0.358364
9,17,0.401398
9,18,0.360670
9,19,0.455567
9,20,0.372029
9,21,0.457108
9,22,0.442939
9,23,0.391537
9,24,0.326807
9,25,0.441347
9,26,0.484414
9,27,0.401975
9,28,0.334926
9,29,0.416017
9,30,0.409106
9,31,0.410629
9,32,0.547420
9,33,0.405823
9,34,0.415293
9,35,0.323280
9,36,0.322386
9,37,0.430695
9,38,0.440043
9,39,0.368996
9,40,0.499689
9,41,0.465964
9,42,0.437499
9,43,0.460361
10,0,0.319407
10,1,0.390367
10,2,0.427943
10,3,0.372559
10,4,0.363029
10,5,0.463278
10,6,0.356907
10,7,0.461386
10,8,0.340720
10,9,0.425248
10,10,0.507695
10,11,0.409043
10,12,0.405321
10,13,0.369532
10,14,0.332898
10,15,0.389764
10,16,0.343585
10,17,0.433374
10,18,0.414569
10,19,0.467673
10,20,0.437994
10,21,0.462525
10,22,0.375587
10,23,0.306865
10,24,0.408509
10,25,0.404337
10,26,0.498305
10,27,0.397115
10,28,0.448771
10,29,0.443335
10,30,0.361145
10,31,0.453967
10,32,0.414717
10,33,0.483179
10,34,0.428238
10,35,0.491972
10,36,0.547864
10,37,0.476437
10,38,0.465565
10,39,0.382694
10,40,0.340331
10,41,0.400620
10,42,0.423077
10,43,0.477997
11,0,0.360471
11,1,0.366221
11,2,0.452143
11,3,0.476240
11,4,0.357183
11,5,0.451227
11,6,0.402462
11,7,0.369012
11,8,0.432527
11,9,0.490159
11,10,0.418975
11,11,0.359806
11,12,0.426812
11,13,0.396182
11,14,0.333586
11,15,0.399150
11,16,0.481564
11,17,0.348293
11,18,0.460053
11,19,0.395061
11,20,0.403638
11,21,0.488511
11,22,0.389014
11,23,0.424960
11,24,0.446748
11,25,0.299635
11,26,0.425419
11,27,0.441713
11,28,0.495753
11,29,0.386617
11,30,0.483656
11,31,0.337136
11,32,0.388012
11,33,0.407282
11,34,0.454635
11,35,0.503789
11,36,0.403701
11,37,0.409580
11,38,0.378056
11,39,0.401728
11,40,0.352882
11,41,0.384246
11,42,0.404719
11,43,0.413670
12,0,0.579885
12,1,0.459797
12,2,0.419481
12,3,0.446626
12,4,0.463799
12,5,0.371240
12,6,0.448038
12,7,0.324426
12,8,0.468707
12,9,0.390900
12,10,0.402776
12,11,0.488855
12,12,0.381763
12,13,0.472339
12,14,0.382762
12,15,0.460457
12,16,0.398440
12,17,0.309132
12,18,0.526890
12,19,0.444090
12,20,0.370934
12,21,0.499822
12,22,0.444636
12,23,0.453987
12,24,0.444317
12,25,0.445239
12,26,0.444213
12,27,0.450317
12,28,0.400346
12,29,0.495028
12,30,0.357822
12,31,0.375134
12,32,0.436402
12,33,0.442594
12,34,0.391417
12,35,0.375218
12,36,0.398481
12,37,0.403453
12,38,0.478140
12,39,0.403533
12,40,0.406160
12,41,0.435251
12,42,0.448170
12,43,0.417142
13,0,0.405927
13,1,0.385134
13,2,0.426598
13,3,0.462008
13,4,0.468787
13,5,0.379555
13,6,0.454326
13,7,0.386298
13,8,0.342669
13,9,0.486889
13,10,0.490924
13,11,0.316489
13,12,0.315247
13,13,0.498457
13,14,0.540483
13,15,0.503709
13,16,0.472036
13,17,0.459803
13,18,0.318093
13,19,0.418001
13,20,0.353687
13,21,0.341138
13,22,0.424079
13,23,0.404713
13,24,0.514953
13,25,0.390561
13,26,0.474507
13,27,0.370401
13,28,0.441151
13,29,0.426987
13,30,0.375814
13,31,0.396071
13,32,0.484528
13,33,0.401868
13,34,0.405592
13,35,0.390896
13,36,0.441125
13,37,0.473679
13,38,0.405312
13,39,0.512088
13,40,0.430821
13,41,0.394280
13,42,0.388915
13,43,0.351103
14,0,0.448797
14,1,0.481200
14,2,0.409160
14,3,0.481386
14,4,0.433313
14,5,0.386098
14,6,0.434238
14,7,0.409462
14,8,0.512686
14,9,0.491558
14,10,0.342070
14,11,0.489989
14,12,0.432799
14,13,0.426482
14,14,0.392987
14,15,0.357642
14,16,0.414927
14,17,0.404435
14,18,0.466398
14,19,0.489000
14,20,0.440127
14,21,0.456346
14,22,0.437244
14,23,0.405198
14,24,0.392514
14,25,0.414751
