epoch,step,train_loss
1,0,0.611439
1,1,0.601567
1,2,0.594172
1,3,0.599616
1,4,0.580640
1,5,0.577994
1,6,0.583406
1,7,0.582330
1,8,0.579482
1,9,0.573042
1,10,0.573557
1,11,0.578217
1,12,0.560397
1,13,0.572225
1,14,0.575734
1,15,0.572014
1,16,0.565331
1,17,0.556905
1,18,0.569701
1,19,0.564203
1,20,0.568115
1,21,0.572720
1,22,0.566970
1,23,0.553425
1,24,0.555135
1,25,0.561227
1,26,0.559914
1,27,0.551244
1,28,0.566541
1,29,0.556793
1,30,0.545174
1,31,0.553483
1,32,0.557411
1,33,0.551032
1,34,0.545086
1,35,0.555987
1,36,0.555843
1,37,0.544377
1,38,0.548405
2,0,0.556600
2,1,0.557781
2,2,0.542712
2,3,0.542806
2,4,0.550346
2,5,0.543145
2,6,0.576498
2,7,0.550581
2,8,0.545335
2,9,0.541364
2,10,0.541685
2,11,0.555138
2,12,0.547129
2,13,0.537882
2,14,0.536361
2,15,0.538308
2,16,0.542938
2,17,0.543531
2,18,0.554926
2,19,0.533242
2,20,0.541875
2,21,0.547626
2,22,0.536277
2,23,0.549481
2,24,0.534487
2,25,0.538357
2,26,0.536055
2,27,0.551013
2,28,0.542739
2,29,0.535521
2,30,0.530725
2,31,0.540255
2,32,0.530410
2,33,0.539874
2,34,0.538026
2,35,0.537799
2,36,0.541510
2,37,0.539351
2,38,0.553680
3,0,0.538227
3,1,0.524116
3,2,0.525304
3,3,0.511244
3,4,0.522702
3,5,0.510481
3,6,0.506746
3,7,0.505854
3,8,0.529540
3,9,0.489494
3,10,0.525996
3,11,0.493551
3,12,0.482236
3,13,0.479530
3,14,0.490461
3,15,0.485710
3,16,0.470830
3,17,0.490441
3,18,0.465766
3,19,0.472872
3,20,0.470215
3,21,0.461868
3,22,0.463752
3,23,0.478714
3,24,0.446098
3,25,0.453705
3,26,0.453067
3,27,0.442683
3,28,0.441621
3,29,0.460756
3,30,0.445663
3,31,0.443638
3,32,0.435102
3,33,0.432781
3,34,0.421572
3,35,0.440898
3,36,0.416992
3,37,0.443144
3,38,0.413323
4,0,0.420336
4,1,0.420261
4,2,0.421875
4,3,0.401372
4,4,0.398582
4,5,0.474182
4,6,0.381658
4,7,0.391630
4,8,0.406727
4,9,0.400972
4,10,0.370493
4,11,0.390052
4,12,0.364792
4,13,0.400710
4,14,0.374417
4,15,0.377442
4,16,0.376856
4,17,0.391034
4,18,0.355106
4,19,0.373941
