epoch,step,train_loss
1,0,0.793623
1,1,0.780761
1,2,0.774380
1,3,0.768729
1,4,0.770712
1,5,0.764721
1,6,0.769944
1,7,0.763764
1,8,0.764349
1,9,0.756986
1,10,0.752798
1,11,0.761116
1,12,0.755651
1,13,0.739130
1,14,0.743371
1,15,0.747761
1,16,0.746716
1,17,0.749690
1,18,0.744480
1,19,0.738850
1,20,0.734345
1,21,0.736624
1,22,0.744561
1,23,0.743229
1,24,0.730295
1,25,0.726238
1,26,0.730538
1,27,0.733918
1,28,0.716324
1,29,0.722782
1,30,0.725016
1,31,0.722839
1,32,0.718200
1,33,0.726633
1,34,0.724489
1,35,0.721387
1,36,0.719863
1,37,0.720046
1,38,0.722772
1,39,0.716834
1,40,0.712946
1,41,0.717835
1,42,0.714208
1,43,0.711806
1,44,0.715026
1,45,0.713320
1,46,0.710875
1,47,0.708821
1,48,0.709528
1,49,0.707826
1,50,0.704352
1,51,0.702991
1,52,0.705989
1,53,0.703541
1,54,0.703530
1,55,0.705306
1,56,0.706205
1,57,0.695395
1,58,0.701006
1,59,0.698554
1,60,0.697189
1,61,0.697333
1,62,0.702059
2,0,0.697892
2,1,0.695280
2,2,0.691528
2,3,0.692240
2,4,0.694719
2,5,0.691909
2,6,0.690868
2,7,0.689225
2,8,0.688274
2,9,0.687976
2,10,0.685859
2,11,0.687175
2,12,0.686347
2,13,0.688422
2,14,0.687415
2,15,0.687255
2,16,0.683280
2,17,0.685013
2,18,0.682343
2,19,0.681659
2,20,0.681319
2,21,0.680415
2,22,0.682955
2,23,0.684708
2,24,0.672382
2,25,0.686654
2,26,0.679751
2,27,0.674742
2,28,0.679413
2,29,0.673711
2,30,0.673057
2,31,0.671368
2,32,0.674419
2,33,0.677028
2,34,0.675654
2,35,0.673288
2,36,0.672779
2,37,0.667008
2,38,0.666333
2,39,0.659009
2,40,0.670268
2,41,0.667628
2,42,0.664868
2,43,0.665291
2,44,0.669135
2,45,0.662033
2,46,0.664490
2,47,0.662219
2,48,0.667390
2,49,0.662206
2,50,0.659596
2,51,0.667837
2,52,0.660225
2,53,0.652902
2,54,0.660190
2,55,0.662278
2,56,0.650373
2,57,0.652702
2,58,0.663738
2,59,0.660591
2,60,0.662887
2,61,0.655476
2,62,0.655746
3,0,0.651640
3,1,0.642900
3,2,0.635325
3,3,0.643778
3,4,0.657352
3,5,0.641488
3,6,0.627252
3,7,0.643890
3,8,0.628505
3,9,0.636330
3,10,0.624795
3,11,0.618103
3,12,0.614711
3,13,0.628839
3,14,0.640858
3,15,0.627355
3,16,0.614032
3,17,0.604659
3,18,0.594767
3,19,0.606911
3,20,0.593957
3,21,0.615354
3,22,0.618673
3,23,0.591347
3,24,0.585203
3,25,0.612041
3,26,0.586903
3,27,0.612729
3,28,0.578180
3,29,0.600038
3,30,0.577026
3,31,0.587765
3,32,0.594358
3,33,0.590025
3,34,0.566069
3,35,0.590373
3,36,0.567966
3,37,0.569291
3,38,0.578765
3,39,0.569772
3,40,0.553701
3,41,0.565152
3,42,0.572595
3,43,0.545595
3,44,0.545800
3,45,0.550525
3,46,0.560957
3,47,0.552223
3,48,0.577690
3,49,0.552138
3,50,0.554523
3,51,0.540563
3,52,0.564991
3,53,0.556275
3,54,0.548696
3,55,0.538365
3,56,0.529230
3,57,0.556623
3,58,0.556929
3,59,0.549120
3,60,0.550333
3,61,0.544384
3,62,0.545989
4,0,0.542525
4,1,0.524412
4,2,0.525957
4,3,0.549131
4,4,0.510433
4,5,0.508765
4,6,0.519136
4,7,0.499916
4,8,0.533958
4,9,0.515501
4,10,0.481376
4,11,0.550069
4,12,0.541263
4,13,0.496193
4,14,0.486197
4,15,0.522941
4,16,0.519384
4,17,0.490718
4,18,0.518530
4,19,0.468616
4,20,0.480572
4,21,0.508212
4,22,0.477277
4,23,0.484566
4,24,0.509859
4,25,0.518449
4,26,0.491881
4,27,0.511756
4,28,0.491957
4,29,0.478405
4,30,0.488253
4,31,0.480776
4,32,0.490604
4,33,0.509936
4,34,0.492850
4,35,0.495877
4,36,0.507185
4,37,0.469403
4,38,0.483790
4,39,0.527250
4,40,0.488305
4,41,0.439625
4,42,0.461817
4,43,0.462248
4,44,0.430035
4,45,0.471467
4,46,0.460690
4,47,0.474437
4,48,0.482138
4,49,0.447021
4,50,0.499126
4,51,0.430137
4,52,0.498331
4,53,0.453426
4,54,0.453996
4,55,0.492246
4,56,0.489638
4,57,0.506906
4,58,0.466921
4,59,0.413681
4,60,0.456369
4,61,0.413382
4,62,0.464344
5,0,0.407394
5,1,0.469179
5,2,0.404200
5,3,0.441684
5,4,0.425486
5,5,0.437693
5,6,0.524179
5,7,0.467525
5,8,0.432365
5,9,0.424801
5,10,0.416629
5,11,0.430777
5,12,0.408530
5,13,0.394811
5,14,0.459901
5,15,0.445450
5,16,0.423211
5,17,0.435210
5,18,0.463964
5,19,0.423669
5,20,0.407701
5,21,0.429982
5,22,0.411318
5,23,0.389145
5,24,0.432437
5,25,0.435842
5,26,0.439608
5,27,0.404392
5,28,0.412958
5,29,0.382845
5,30,0.430239
5,31,0.474398
5,32,0.416398
5,33,0.435967
5,34,0.395736
5,35,0.441696
5,36,0.395311
5,37,0.411276
5,38,0.429922
5,39,0.412372
5,40,0.363364
5,41,0.403037
5,42,0.400927
5,43,0.382300
5,44,0.459606
5,45,0.413847
5,46,0.355838
5,47,0.386538
5,48,0.363188
5,49,0.361815
5,50,0.343993
5,51,0.386383
5,52,0.357910
5,53,0.388652
5,54,0.419583
5,55,0.371695
5,56,0.340434
5,57,0.434220
5,58,0.322844
5,59,0.455026
5,60,0.342748
5,61,0.456036
5,62,0.349091
6,0,0.381099
6,1,0.399532
6,2,0.408112
6,3,0.358180
6,4,0.378926
6,5,0.298398
6,6,0.365602
6,7,0.310118
6,8,0.416527
6,9,0.377793
6,10,0.359304
6,11,0.321391
6,12,0.344341
6,13,0.347554
6,14,0.363064
6,15,0.360859
6,16,0.491988
6,17,0.442484
6,18,0.448367
6,19,0.362772
6,20,0.343397
6,21,0.357722
6,22,0.332438
6,23,0.365704
6,24,0.285241
6,25,0.380926
6,26,0.452819
6,27,0.319251
6,28,0.409735
6,29,0.362719
6,30,0.313801
6,31,0.410507
6,32,0.382719
6,33,0.361814
6,34,0.466753
6,35,0.382724
6,36,0.358167
6,37,0.425119
6,38,0.297881
6,39,0.429659
6,40,0.318571
6,41,0.358670
6,42,0.409809
6,43,0.418573
6,44,0.316452
6,45,0.351764
6,46,0.372781
6,47,0.325587
6,48,0.335980
6,49,0.398629
6,50,0.304052
6,51,0.294155
6,52,0.268104
6,53,0.331570
6,54,0.309967
6,55,0.369931
6,56,0.350574
6,57,0.358179
6,58,0.338088
6,59,0.394805
6,60,0.411570
6,61,0.515686
6,62,0.402406
7,0,0.377724
7,1,0.302492
7,2,0.298940
7,3,0.397588
7,4,0.417087
7,5,0.354039
7,6,0.316636
7,7,0.360907
7,8,0.358457
7,9,0.324256
7,10,0.395109
7,11,0.358990
7,12,0.432820
7,13,0.306275
7,14,0.324465
7,15,0.305057
7,16,0.385109
7,17,0.344867
7,18,0.348351
7,19,0.287176
7,20,0.305055
7,21,0.439599
7,22,0.302807
7,23,0.338459
7,24,0.384302
7,25,0.428384
7,26,0.365317
7,27,0.352652
7,28,0.302229
7,29,0.289583
7,30,0.342224
7,31,0.360798
7,32,0.311049
7,33,0.464251
7,34,0.409468
7,35,0.475803
7,36,0.302965
7,37,0.356604
7,38,0.445230
7,39,0.492527
7,40,0.448110
7,41,0.333544
7,42,0.334769
7,43,0.305931
7,44,0.413762
7,45,0.299368
7,46,0.324298
7,47,0.451246
7,48,0.336281
7,49,0.314930
7,50,0.288008
7,51,0.276635
7,52,0.367885
7,53,0.382316
7,54,0.369999
7,55,0.313191
7,56,0.396967
7,57,0.308130
7,58,0.359255
7,59,0.361867
7,60,0.332435
7,61,0.360313
7,62,0.278818
8,0,0.416738
8,1,0.431488
8,2,0.344786
8,3,0.284156
8,4,0.344797
8,5,0.354876
8,6,0.355708
8,7,0.394399
8,8,0.299011
8,9,0.326239
8,10,0.295041
8,11,0.448625
8,12,0.462089
8,13,0.301846
8,14,0.323291
8,15,0.439297
8,16,0.439038
8,17,0.339974
8,18,0.303718
8,19,0.323421
8,20,0.363370
8,21,0.298794
8,22,0.298005
8,23,0.351231
8,24,0.380789
8,25,0.330587
8,26,0.270835
8,27,0.392486
8,28,0.288189
8,29,0.343637
8,30,0.307376
8,31,0.358504
8,32,0.332350
8,33,0.297054
8,34,0.278614
8,35,0.356041
8,36,0.409520
8,37,0.277844
8,38,0.370987
8,39,0.400816
8,40,0.441980
8,41,0.407524
8,42,0.356663
8,43,0.439939
8,44,0.313614
8,45,0.346194
8,46,0.362352
8,47,0.348725
8,48,0.387804
8,49,0.328458
8,50,0.323095
8,51,0.394613
8,52,0.333773
