epoch,step,train_loss
1,0,0.781719
1,1,0.810815
1,2,0.792402
1,3,0.836791
1,4,0.806010
1,5,0.825279
1,6,0.773623
1,7,0.796489
1,8,0.829525
1,9,0.786466
1,10,0.771270
1,11,0.743126
1,12,0.798047
1,13,0.786009
1,14,0.747824
1,15,0.781944
1,16,0.779943
1,17,0.763094
1,18,0.789624
1,19,0.769751
1,20,0.726595
1,21,0.760826
1,22,0.781594
1,23,0.764642
1,24,0.752132
1,25,0.743882
1,26,0.788681
1,27,0.752943
1,28,0.775829
1,29,0.757352
1,30,0.767518
1,31,0.760140
1,32,0.755795
1,33,0.758310
1,34,0.751622
1,35,0.757621
1,36,0.724392
1,37,0.784787
1,38,0.771081
2,0,0.732133
2,1,0.734412
2,2,0.720090
2,3,0.720180
2,4,0.785517
2,5,0.755976
2,6,0.758686
2,7,0.789674
2,8,0.738753
2,9,0.744194
2,10,0.749150
2,11,0.765669
2,12,0.753762
2,13,0.739912
2,14,0.739056
2,15,0.722959
2,16,0.731255
2,17,0.758358
2,18,0.749934
2,19,0.758772
2,20,0.756664
2,21,0.731725
2,22,0.749551
2,23,0.688622
2,24,0.728734
2,25,0.747647
2,26,0.710989
2,27,0.747715
2,28,0.716124
2,29,0.726359
2,30,0.706923
2,31,0.733881
2,32,0.746756
2,33,0.727302
2,34,0.710880
2,35,0.739122
2,36,0.732102
2,37,0.711339
2,38,0.733252
3,0,0.718818
3,1,0.676239
3,2,0.667758
3,3,0.641447
3,4,0.638672
3,5,0.589234
3,6,0.593083
3,7,0.567364
3,8,0.563824
3,9,0.516921
3,10,0.499893
3,11,0.531509
3,12,0.535037
3,13,0.480171
3,14,0.472847
3,15,0.478405
3,16,0.448561
3,17,0.440810
3,18,0.430482
3,19,0.386149
3,20,0.413446
3,21,0.403393
3,22,0.376703
3,23,0.442664
3,24,0.364482
3,25,0.349569
3,26,0.376682
3,27,0.317037
3,28,0.362983
3,29,0.339870
3,30,0.317732
3,31,0.300727
3,32,0.275816
3,33,0.363014
3,34,0.346391
3,35,0.338349
3,36,0.221059
3,37,0.312635
3,38,0.225337
4,0,0.270419
4,1,0.272057
4,2,0.263032
4,3,0.250007
4,4,0.251142
4,5,0.252750
4,6,0.276963
4,7,0.360885
4,8,0.347218
4,9,0.257067
4,10,0.224304
4,11,0.285357
4,12,0.416308
4,13,0.419109
4,14,0.363930
4,15,0.425789
4,16,0.221930
4,17,0.425385
4,18,0.387990
4,19,0.340542
4,20,0.237770
4,21,0.264645
4,22,0.462186
4,23,0.370821
4,24,0.300213
4,25,0.270975
4,26,0.372507
4,27,0.256105
4,28,0.360080
4,29,0.422018
4,30,0.269976
4,31,0.368979
4,32,0.258612
4,33,0.284514
4,34,0.285017
4,35,0.298460
4,36,0.245634
4,37,0.276704
4,38,0.252236
5,0,0.275817
5,1,0.312236
5,2,0.346419
5,3,0.246420
5,4,0.311593
5,5,0.270180
5,6,0.245997
5,7,0.249304
5,8,0.242510
5,9,0.214207
5,10,0.272914
5,11,0.279199
5,12,0.235474
5,13,0.396707
5,14,0.240986
5,15,0.210980
5,16,0.355199
5,17,0.210045
5,18,0.325214
5,19,0.310458
5,20,0.311521
5,21,0.303202
5,22,0.206246
5,23,0.208416
5,24,0.231876
5,25,0.358061
5,26,0.227675
5,27,0.308711
5,28,0.244290
5,29,0.176643
5,30,0.406886
5,31,0.194140
5,32,0.281620
5,33,0.259016
5,34,0.309761
5,35,0.210768
5,36,0.349304
5,37,0.322878
5,38,0.207340
6,0,0.251027
6,1,0.286277
6,2,0.237348
6,3,0.197056
6,4,0.278935
6,5,0.201721
6,6,0.217677
6,7,0.264517
6,8,0.251437
6,9,0.350117
6,10,0.232346
6,11,0.293515
6,12,0.337090
6,13,0.179005
6,14,0.232286
6,15,0.395019
6,16,0.236436
6,17,0.242229
6,18,0.432079
6,19,0.284575
6,20,0.239484
6,21,0.213067
6,22,0.235136
6,23,0.234949
6,24,0.270311
6,25,0.244837
6,26,0.301270
6,27,0.244252
6,28,0.279311
6,29,0.267718
6,30,0.241175
6,31,0.210264
6,32,0.294909
6,33,0.225189
6,34,0.312188
6,35,0.272067
6,36,0.226036
6,37,0.315266
6,38,0.154924
7,0,0.205968
7,1,0.257298
7,2,0.262024
7,3,0.309134
7,4,0.288637
7,5,0.249094
7,6,0.324688
7,7,0.240348
7,8,0.316570
7,9,0.230936
7,10,0.274589
7,11,0.186197
7,12,0.361851
7,13,0.189242
7,14,0.246155
7,15,0.273807
7,16,0.457984
7,17,0.179934
7,18,0.233382
7,19,0.238815
7,20,0.235852
7,21,0.274926
7,22,0.375889
7,23,0.385837
7,24,0.318907
7,25,0.278176
7,26,0.249646
7,27,0.243305
7,28,0.269131
7,29,0.190008
7,30,0.194751
7,31,0.343838
7,32,0.253304
7,33,0.273794
7,34,0.209142
7,35,0.300617
7,36,0.284927
7,37,0.225588
7,38,0.211941
8,0,0.279034
8,1,0.234346
8,2,0.278888
8,3,0.223875
8,4,0.233054
8,5,0.279030
8,6,0.259594
8,7,0.306039
8,8,0.204666
8,9,0.242340
8,10,0.244876
8,11,0.276698
8,12,0.310362
8,13,0.408957
8,14,0.282876
8,15,0.225660
8,16,0.273254
8,17,0.301790
8,18,0.273641
8,19,0.401758
8,20,0.326001
8,21,0.314691
8,22,0.341513
8,23,0.193799
8,24,0.318590
8,25,0.317439
8,26,0.259426
8,27,0.336995
8,28,0.292514
8,29,0.253585
8,30,0.252679
8,31,0.253897
8,32,0.914134
8,33,0.310924
8,34,0.251507
8,35,0.222004
8,36,0.272718
8,37,0.409911
8,38,0.266395
9,0,0.315550
9,1,0.203467
9,2,0.401388
9,3,0.249174
9,4,0.223219
9,5,0.352865
9,6,0.276380
9,7,0.300287
9,8,0.248373
9,9,0.221585
9,10,0.322038
9,11,0.457880
9,12,0.225529
9,13,0.212033
9,14,0.342976
9,15,0.338282
9,16,0.243458
9,17,0.335654
9,18,0.326443
9,19,0.294315
9,20,0.240354
9,21,0.241335
9,22,0.270503
9,23,0.214171
9,24,0.311209
9,25,0.218582
9,26,0.240674
9,27,0.549020
9,28,0.219076
9,29,0.334733
9,30,0.251585
9,31,0.301258
9,32,0.278135
9,33,0.418557
9,34,0.464302
9,35,0.320905
9,36,0.237180
9,37,0.393572
9,38,0.888660
10,0,0.371458
10,1,0.284175
10,2,0.404820
10,3,0.349495
10,4,0.325332
10,5,0.604425
10,6,0.257956
10,7,0.313983
10,8,0.303344
10,9,0.323545
10,10,0.323188
10,11,0.288829
10,12,0.361213
10,13,0.217036
10,14,0.413783
10,15,0.308275
10,16,0.290127
10,17,0.607533
10,18,0.960724
10,19,0.343558
10,20,0.385344
10,21,0.367190
10,22,0.542350
10,23,0.402876
10,24,0.251011
10,25,0.376496
10,26,0.274536
10,27,0.333056
10,28,0.262703
10,29,0.281775
10,30,0.236323
10,31,0.587063
10,32,0.294108
10,33,0.216949
10,34,0.284021
10,35,0.270904
10,36,0.455353
10,37,0.314742
10,38,0.222328
11,0,0.260670
11,1,0.337684
11,2,0.381207
11,3,0.289992
11,4,0.345991
11,5,0.275428
11,6,0.611413
11,7,0.206525
11,8,0.226351
11,9,0.367680
11,10,0.333019
11,11,0.370418
11,12,0.554104
11,13,0.197442
11,14,0.521115
11,15,0.259278
11,16,0.291151
11,17,0.372465
11,18,0.435654
11,19,0.371420
11,20,0.320967
11,21,0.354061
11,22,0.324257
11,23,0.221267
11,24,0.245937
11,25,0.298068
11,26,0.275788
11,27,0.668886
11,28,0.353977
11,29,0.540510
11,30,0.699452
11,31,0.365223
11,32,0.409987
11,33,0.241415
11,34,0.267669
11,35,0.462354
11,36,0.328796
11,37,0.190156
11,38,0.194862
12,0,0.449726
12,1,0.329177
12,2,0.354440
12,3,0.287866
12,4,0.299293
12,5,0.335161
12,6,0.328574
12,7,0.287573
12,8,0.529834
12,9,0.333009
12,10,0.282505
12,11,0.309639
12,12,0.271841
12,13,0.206921
12,14,0.355492
12,15,0.403594
12,16,0.370639
12,17,0.291335
12,18,0.628099
12,19,0.281277
12,20,0.519865
12,21,0.362139
12,22,0.260132
12,23,0.242069
12,24,0.390650
12,25,0.245761
12,26,0.257961
12,27,0.462480
12,28,0.276582
12,29,0.337436
12,30,0.291371
12,31,0.308261
12,32,0.410301
