epoch,step,train_loss
1,0,0.722067
1,1,0.739696
1,2,0.695418
1,3,0.702412
1,4,0.754028
1,5,0.713348
1,6,0.694960
1,7,0.719666
1,8,0.702633
1,9,0.721375
1,10,0.728692
1,11,0.671056
1,12,0.710570
1,13,0.734116
1,14,0.712950
1,15,0.699616
1,16,0.695986
1,17,0.705678
1,18,0.704102
1,19,0.683002
1,20,0.662491
1,21,0.699841
1,22,0.681411
1,23,0.645975
1,24,0.691332
1,25,0.688973
1,26,0.681964
1,27,0.689227
1,28,0.668779
1,29,0.692182
1,30,0.700872
1,31,0.667883
1,32,0.673724
1,33,0.673110
1,34,0.657290
1,35,0.677584
1,36,0.657663
1,37,0.655320
1,38,0.665152
1,39,0.660242
1,40,0.645466
1,41,0.636568
1,42,0.665686
1,43,0.644914
1,44,0.715954
1,45,0.664351
1,46,0.662818
1,47,0.674488
1,48,0.627760
1,49,0.665349
1,50,0.668202
1,51,0.632996
1,52,0.653415
1,53,0.634160
1,54,0.643610
1,55,0.655239
1,56,0.662741
1,57,0.634203
1,58,0.694121
1,59,0.635232
1,60,0.608343
1,61,0.653104
1,62,0.645332
1,63,0.671886
1,64,0.620377
1,65,0.674192
1,66,0.639434
1,67,0.608635
1,68,0.627591
1,69,0.650755
1,70,0.657827
1,71,0.603207
1,72,0.613047
1,73,0.622243
1,74,0.630520
1,75,0.642966
1,76,0.636258
1,77,0.637669
1,78,0.642032
1,79,0.656909
1,80,0.633811
1,81,0.605709
1,82,0.598261
1,83,0.618166
1,84,0.607793
1,85,0.653109
1,86,0.633136
1,87,0.645809
1,88,0.616730
1,89,0.654380
1,90,0.637083
1,91,0.601152
1,92,0.619116
1,93,0.627545
1,94,0.583983
1,95,0.600699
1,96,0.602011
1,97,0.652746
1,98,0.598178
1,99,0.568229
1,100,0.606095
1,101,0.617121
1,102,0.600170
1,103,0.594138
1,104,0.600102
1,105,0.644619
1,106,0.601676
1,107,0.626234
1,108,0.625596
1,109,0.592592
1,110,0.579502
1,111,0.595360
1,112,0.567988
1,113,0.645764
2,0,0.570995
2,1,0.618667
2,2,0.601746
2,3,0.615331
2,4,0.608639
2,5,0.579948
2,6,0.586837
2,7,0.621706
2,8,0.613154
2,9,0.582339
2,10,0.564664
2,11,0.575746
2,12,0.645192
2,13,0.610548
2,14,0.557214
2,15,0.537906
2,16,0.600951
2,17,0.653904
2,18,0.533229
2,19,0.585363
2,20,0.628468
2,21,0.562272
2,22,0.588134
2,23,0.574214
2,24,0.576518
2,25,0.552877
2,26,0.633585
2,27,0.613504
2,28,0.613087
2,29,0.582414
2,30,0.518845
2,31,0.565737
2,32,0.554522
2,33,0.550499
2,34,0.575436
2,35,0.596286
2,36,0.593769
2,37,0.531594
2,38,0.526722
2,39,0.547056
2,40,0.564134
2,41,0.580514
2,42,0.540849
2,43,0.562124
2,44,0.496040
2,45,0.536679
2,46,0.552425
2,47,0.556795
2,48,0.598366
2,49,0.597747
2,50,0.585637
2,51,0.605727
2,52,0.551272
2,53,0.595275
2,54,0.505710
2,55,0.550498
2,56,0.551726
2,57,0.547124
2,58,0.570482
2,59,0.552841
2,60,0.580968
2,61,0.545406
2,62,0.515668
2,63,0.502049
2,64,0.617238
2,65,0.532474
2,66,0.546866
2,67,0.570931
2,68,0.532986
2,69,0.585297
2,70,0.537635
2,71,0.528892
2,72,0.557852
2,73,0.530373
2,74,0.565483
2,75,0.543339
2,76,0.541815
2,77,0.545885
2,78,0.613946
2,79,0.546246
2,80,0.496476
2,81,0.545187
2,82,0.512283
2,83,0.518286
2,84,0.540426
2,85,0.546790
2,86,0.564313
2,87,0.610649
2,88,0.497836
2,89,0.572069
2,90,0.546444
2,91,0.511050
2,92,0.522885
2,93,0.588382
2,94,0.509175
2,95,0.490303
2,96,0.512460
2,97,0.548152
2,98,0.488616
2,99,0.553378
2,100,0.469077
2,101,0.550551
2,102,0.545001
2,103,0.545058
2,104,0.538477
2,105,0.486234
2,106,0.580848
2,107,0.493416
2,108,0.486158
2,109,0.486624
2,110,0.493996
2,111,0.476412
2,112,0.536909
2,113,0.458097
3,0,0.533637
3,1,0.559868
3,2,0.498144
3,3,0.495276
3,4,0.513441
3,5,0.549086
3,6,0.560634
3,7,0.480733
3,8,0.455861
3,9,0.461542
3,10,0.449657
3,11,0.552219
3,12,0.523930
3,13,0.476938
3,14,0.465756
3,15,0.449996
3,16,0.500357
3,17,0.454728
3,18,0.445071
3,19,0.485177
3,20,0.421599
3,21,0.432315
3,22,0.429563
3,23,0.390603
3,24,0.445223
3,25,0.350162
3,26,0.498169
3,27,0.440466
3,28,0.511065
3,29,0.543984
3,30,0.348488
3,31,0.443392
3,32,0.413513
3,33,0.357597
3,34,0.398539
3,35,0.406126
3,36,0.385968
3,37,0.388442
3,38,0.453140
3,39,0.371764
3,40,0.431633
3,41,0.525874
3,42,0.366178
3,43,0.375596
3,44,0.427134
3,45,0.360686
3,46,0.369644
3,47,0.418077
3,48,0.370962
3,49,0.473442
3,50,0.418505
3,51,0.406188
3,52,0.458101
3,53,0.366851
3,54,0.450806
3,55,0.326510
3,56,0.423947
3,57,0.362971
3,58,0.397578
3,59,0.361866
3,60,0.402126
3,61,0.328542
3,62,0.338259
3,63,0.416200
3,64,0.446768
3,65,0.603671
3,66,0.375818
3,67,0.334360
3,68,0.417850
3,69,0.478493
3,70,0.466156
3,71,0.531674
3,72,0.337232
3,73,0.389211
3,74,0.312829
3,75,0.405695
3,76,0.312888
3,77,0.329660
3,78,0.310609
3,79,0.392121
3,80,0.292567
3,81,0.334070
3,82,0.415293
3,83,0.342230
3,84,0.329320
3,85,0.409316
3,86,0.288339
3,87,0.384370
3,88,0.529712
3,89,0.508885
3,90,0.359540
3,91,0.456933
3,92,0.273337
3,93,0.297500
3,94,0.281256
3,95,0.535821
3,96,0.352038
3,97,0.291782
3,98,0.568733
3,99,0.504743
3,100,0.294215
3,101,0.265024
3,102,0.419124
3,103,0.347162
3,104,0.357086
3,105,0.461429
3,106,0.376838
3,107,0.438511
3,108,0.477412
3,109,0.347971
3,110,0.282165
3,111,0.333753
3,112,0.401992
3,113,0.729988
4,0,0.332180
4,1,0.426481
4,2,0.242380
4,3,0.318229
4,4,0.322052
4,5,0.427546
4,6,0.226359
4,7,0.273952
4,8,0.311475
4,9,0.508798
4,10,0.553354
4,11,0.427053
4,12,0.482972
4,13,0.341792
4,14,0.373798
4,15,0.242480
4,16,0.301632
4,17,0.263454
4,18,0.441864
4,19,0.374565
4,20,0.199899
4,21,0.345613
4,22,0.380441
4,23,0.501953
4,24,0.365698
4,25,0.286752
4,26,0.531432
4,27,0.226992
4,28,0.532013
4,29,0.406296
4,30,0.309732
4,31,0.314201
4,32,0.364475
4,33,0.341814
4,34,0.390497
4,35,0.367740
4,36,0.457932
4,37,0.400408
4,38,0.414306
4,39,0.731326
4,40,0.509484
4,41,0.418760
4,42,0.397070
4,43,0.436578
4,44,0.320539
4,45,0.331268
4,46,0.315000
4,47,0.407220
4,48,0.415160
4,49,0.482904
4,50,0.504753
4,51,0.396111
4,52,0.383539
4,53,0.353314
4,54,0.428051
4,55,0.262033
4,56,0.241578
4,57,0.336555
4,58,0.600682
4,59,0.425625
4,60,0.591695
4,61,0.331223
4,62,0.388187
4,63,0.210961
4,64,0.733616
4,65,0.243996
4,66,0.548306
4,67,0.423646
4,68,0.555377
4,69,0.474519
4,70,0.632188
4,71,0.466022
4,72,0.309577
4,73,0.271556
4,74,0.238024
4,75,0.308758
4,76,0.586611
