epoch,step,train_loss
1,0,0.715075
1,1,0.741336
1,2,0.695516
1,3,0.740171
1,4,0.731018
1,5,0.728531
1,6,0.744017
1,7,0.730117
1,8,0.757116
1,9,0.713837
1,10,0.740092
1,11,0.754001
1,12,0.725245
1,13,0.704354
1,14,0.696338
1,15,0.733944
1,16,0.725913
1,17,0.722540
1,18,0.708521
1,19,0.757704
1,20,0.722358
1,21,0.771607
1,22,0.661595
1,23,0.677488
1,24,0.670524
1,25,0.706324
1,26,0.707346
1,27,0.681253
1,28,0.687652
1,29,0.678477
1,30,0.713266
1,31,0.712215
1,32,0.665315
1,33,0.708180
1,34,0.719983
1,35,0.681010
1,36,0.646910
1,37,0.670887
1,38,0.694903
1,39,0.679047
1,40,0.682875
1,41,0.691595
1,42,0.708343
1,43,0.677423
1,44,0.691691
1,45,0.686921
1,46,0.661034
1,47,0.696763
1,48,0.668953
1,49,0.685785
1,50,0.678391
1,51,0.689394
1,52,0.687740
1,53,0.652802
1,54,0.638725
1,55,0.673802
1,56,0.648023
1,57,0.660126
1,58,0.701012
1,59,0.668896
1,60,0.647909
1,61,0.692011
1,62,0.653442
2,0,0.669149
2,1,0.677104
2,2,0.634601
2,3,0.672145
2,4,0.680072
2,5,0.649165
2,6,0.633058
2,7,0.692170
2,8,0.646660
2,9,0.628651
2,10,0.680517
2,11,0.636316
2,12,0.656233
2,13,0.696301
2,14,0.634998
2,15,0.618303
2,16,0.641685
2,17,0.687026
2,18,0.668612
2,19,0.648274
2,20,0.659143
2,21,0.663269
2,22,0.632276
2,23,0.618585
2,24,0.631553
2,25,0.623867
2,26,0.649414
2,27,0.661966
2,28,0.602634
2,29,0.661757
2,30,0.636742
2,31,0.594384
2,32,0.597382
2,33,0.646568
2,34,0.669396
2,35,0.609586
2,36,0.609849
2,37,0.623276
2,38,0.594537
2,39,0.648414
2,40,0.644128
2,41,0.642270
2,42,0.626358
2,43,0.618027
2,44,0.608373
2,45,0.603015
2,46,0.621522
2,47,0.606678
2,48,0.604903
2,49,0.574644
2,50,0.605460
2,51,0.614115
2,52,0.629447
2,53,0.612650
2,54,0.604406
2,55,0.595934
2,56,0.563863
2,57,0.597035
2,58,0.653818
2,59,0.625096
