model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
125,0.20206076411100535,0.8233,0.7047,0.9177,
262,0.1757668382846392,0.8394,0.7301,0.9277,
101,0.19498010736245375,0.8150,0.6940,0.9175,
218,0.19235643606919509,0.8290,0.7145,0.9235,
325,0.15636307448148729,0.8542,0.7501,0.9313,
66,0.22855318394991067,0.7889,0.6588,0.9058,
2,0.3737280355050014,0.5937,0.4370,0.8389,
289,0.17666510767661608,0.8328,0.7190,0.9238,
498,0.16666327313734935,0.8599,0.7580,0.9319,
277,0.16451899787554375,0.8468,0.7388,0.9276,
203,0.17571764359107384,0.8302,0.7140,0.9232,
409,0.16776027805530108,0.8443,0.7357,0.9263,
630,0.15219078602699132,0.8615,0.7620,0.9350,
574,0.14864485424298507,0.8676,0.7700,0.9355,
327,0.20446744515345647,0.8128,0.6913,0.9106,
398,0.1620582639024808,0.8525,0.7472,0.9301,
283,0.16820071236445353,0.8491,0.7416,0.9312,
483,0.15288584874226496,0.8658,0.7666,0.9360,
171,0.18791717909849606,0.8198,0.7016,0.9181,
86,0.22136131410415355,0.8069,0.6837,0.9132,
487,0.14964903123103657,0.8651,0.7662,0.9378,
390,0.1559266407902424,0.8481,0.7430,0.9306,
504,0.15134893426528342,0.8622,0.7618,0.9352,
464,0.15827765246996514,0.8631,0.7627,0.9354,
53,0.28899039740745835,0.7185,0.5697,0.8807,
301,0.17947212022084455,0.8367,0.7244,0.9236,
424,0.15968707215327482,0.8599,0.7595,0.9347,
618,0.15124210566282273,0.8577,0.7553,0.9339,
311,0.17096556929441598,0.8496,0.7424,0.9258,
339,0.18387077542451713,0.8314,0.7194,0.9218,
337,0.15796020202911817,0.8497,0.7442,0.9309,
585,0.14757101925519797,0.8582,0.7594,0.9366,
181,0.19868973298714712,0.8229,0.7048,0.9193,
334,0.1769952356815338,0.8490,0.7426,0.9276,
76,0.2428736286667677,0.7843,0.6516,0.9030,
510,0.15510452504341418,0.8630,0.7624,0.9333,
184,0.1850728146158732,0.8302,0.7148,0.9184,
420,0.15952030752713864,0.8601,0.7594,0.9341,
284,0.16991096379665227,0.8436,0.7358,0.9267,
93,0.20002296085541066,0.8126,0.6899,0.9163,
270,0.19215592776353543,0.8335,0.7186,0.9204,
204,0.20045895324303553,0.8069,0.6860,0.9075,
293,0.17583801001310348,0.8328,0.7201,0.9249,
3,0.3807656418818694,0.6092,0.4509,0.8237,
34,0.24867840913625863,0.7714,0.6380,0.9049,
481,0.15478129593225626,0.8559,0.7517,0.9338,
195,0.19606023625685617,0.8337,0.7198,0.9223,
50,0.24734057440207555,0.7770,0.6416,0.9054,
428,0.16081810020483456,0.8553,0.7503,0.9303,
272,0.166717480466916,0.8299,0.7142,0.9270,
315,0.17807283435876553,0.8492,0.7439,0.9305,
597,0.15450397454775297,0.8612,0.7594,0.9339,
387,0.18620948527867978,0.8300,0.7150,0.9183,
254,0.2052415139400042,0.8208,0.7017,0.9156,
634,0.15403784467623785,0.8620,0.7613,0.9336,
397,0.17615515738725662,0.8406,0.7292,0.9234,
376,0.1669838405572451,0.8461,0.7394,0.9279,
69,0.21731570672530395,0.8038,0.6792,0.9154,
48,0.24154722896906045,0.7744,0.6400,0.9066,
14,0.3678513962488908,0.6015,0.4449,0.8432,
546,0.14976889250370173,0.8636,0.7643,0.9356,
566,0.162900659098075,0.8587,0.7564,0.9319,
347,0.16346281067683147,0.8488,0.7424,0.9312,
59,0.23379772099164817,0.7993,0.6735,0.9140,
366,0.18356390595436095,0.8210,0.7044,0.9168,
369,0.16489413380622864,0.8588,0.7564,0.9305,
455,0.15170588756983097,0.8601,0.7590,0.9346,
642,0.15736280221205493,0.8532,0.7496,0.9315,
170,0.18502184737187166,0.8208,0.7026,0.9203,
616,0.14619597104879525,0.8661,0.7677,0.9366,
91,0.2146381703706888,0.7937,0.6671,0.9091,
646,0.15098390372899861,0.8616,0.7618,0.9346,
307,0.1628219282397857,0.8547,0.7499,0.9338,
7,0.40421885114449724,0.5833,0.4225,0.8387,
247,0.17241205080197408,0.8353,0.7219,0.9225,
378,0.1742868593105903,0.8540,0.7496,0.9307,
452,0.15563535128648465,0.8538,0.7503,0.9320,
552,0.163956578878256,0.8533,0.7499,0.9290,
56,0.22117276294873311,0.7734,0.6405,0.9075,
273,0.18007670732644887,0.8354,0.7233,0.9225,
127,0.19738560227247384,0.8071,0.6842,0.9152,
635,0.15587427134697254,0.8581,0.7569,0.9329,
227,0.16155642935862907,0.8448,0.7383,0.9306,
435,0.17103010519192768,0.8584,0.7555,0.9321,
109,0.20027770010324625,0.8073,0.6845,0.9154,
19,0.3745462750013058,0.6710,0.5193,0.8344,
332,0.1631881425013909,0.8545,0.7496,0.9316,
531,0.15298917075762383,0.8584,0.7563,0.9351,
445,0.15984782324387478,0.8549,0.7520,0.9319,
232,0.18269881583177128,0.8411,0.7298,0.9240,
185,0.1767268481162878,0.8327,0.7177,0.9241,
137,0.1826155586884572,0.8242,0.7079,0.9213,
212,0.1829347325059084,0.8369,0.7253,0.9265,
166,0.18742597825252094,0.8295,0.7135,0.9182,
41,0.27675417638742006,0.7740,0.6405,0.9029,
94,0.22635636237951426,0.8019,0.6759,0.9095,
490,0.15519567074683996,0.8594,0.7575,0.9345,
291,0.1842951712700037,0.8321,0.7172,0.9199,
192,0.18303664888326937,0.8361,0.7261,0.9262,
269,0.16368811038824227,0.8505,0.7450,0.9298,
