model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
1,0.354309685,0.6416,0.4894,0.8416
2,0.415270905,0.0275,0.0149,0.7811
3,0.334001214,0.6102,0.4525,0.8653
4,0.289807411,0.6877,0.533,0.8827
5,0.278159548,0.7187,0.5702,0.8862
6,0.29033957,0.713,0.5673,0.8905
7,0.281867081,0.6789,0.5252,0.8837
8,0.250336348,0.7608,0.6234,0.9005
9,0.256714231,0.7267,0.5815,0.8936
10,0.27051562,0.6738,0.5246,0.8844
11,0.252055566,0.7206,0.5758,0.8962
12,0.235968679,0.736,0.5929,0.8975
13,0.24009935,0.7537,0.6165,0.8973
14,0.247931174,0.7359,0.5936,0.8982
15,0.256745914,0.7296,0.5869,0.896
16,0.319654621,0.5734,0.4129,0.8629
17,0.22693268,0.7263,0.5831,0.8974
18,0.235014121,0.7743,0.6409,0.9064
19,0.214678443,0.77,0.6351,0.9072
20,0.215882099,0.7785,0.6434,0.9077
21,0.229014039,0.7688,0.6312,0.9059
22,0.231949882,0.7555,0.6174,0.9028
23,0.210824963,0.7914,0.6617,0.9105
24,0.239084293,0.7828,0.6496,0.8958
25,0.212202642,0.7693,0.6374,0.9084
26,0.207523251,0.7874,0.6575,0.913
27,0.199776591,0.7833,0.6513,0.9128
28,0.199720419,0.7884,0.6591,0.9135
29,0.194453953,0.7925,0.6631,0.9145
30,0.200067331,0.8,0.6758,0.918
31,0.204491832,0.786,0.6559,0.9115
32,0.203249079,0.7715,0.6382,0.9079
33,0.254075139,0.6887,0.5431,0.8895
34,0.205067392,0.8033,0.6809,0.9177
35,0.216897573,0.762,0.626,0.905
36,0.205269177,0.8162,0.6942,0.917
37,0.209532878,0.7843,0.6554,0.9112
38,0.186776746,0.811,0.6894,0.9197
39,0.202762886,0.7885,0.6581,0.9122
40,0.202467789,0.8063,0.6831,0.9142
41,0.199417037,0.7947,0.6678,0.9113
42,0.185296011,0.8152,0.6953,0.9171
43,0.187119303,0.8117,0.6905,0.9167
44,0.192704335,0.8062,0.6853,0.9179
45,0.198258654,0.7797,0.6488,0.9106
46,0.185629189,0.8157,0.6951,0.9167
47,0.185542192,0.8066,0.684,0.9181
48,0.1864029,0.8062,0.6817,0.9171
49,0.181825877,0.8034,0.6793,0.9184
50,0.191832498,0.8077,0.6856,0.9174
51,0.194740947,0.7984,0.6732,0.9161
52,0.179649422,0.8183,0.6992,0.9207
53,0.172649473,0.8227,0.7052,0.9234
54,0.176236428,0.8182,0.7003,0.9215
55,0.192443728,0.8065,0.6826,0.9171
56,0.174055347,0.8185,0.6978,0.9196
57,0.172017055,0.8275,0.7115,0.9251
58,0.195441049,0.7813,0.6505,0.9135
59,0.184884535,0.8095,0.6886,0.9182
60,0.184194687,0.799,0.6737,0.9192
61,0.174944184,0.8216,0.7035,0.9227
62,0.184279607,0.7993,0.6736,0.9176
63,0.1754194,0.8194,0.7022,0.9221
64,0.179066325,0.8233,0.7062,0.9204
65,0.171703949,0.8295,0.7141,0.9239
66,0.176934914,0.8319,0.7161,0.9194
67,0.18486724,0.8031,0.6817,0.9194
68,0.174161241,0.8215,0.7049,0.924
69,0.189631795,0.7968,0.6697,0.9158
70,0.180364072,0.8269,0.7127,0.9232
71,0.171705526,0.8257,0.7102,0.9221
72,0.15972985,0.8283,0.7135,0.924
73,0.171643821,0.7988,0.6718,0.9201
74,0.173715788,0.8151,0.6971,0.922
75,0.163055828,0.8378,0.7267,0.9269
76,0.159931208,0.8263,0.7106,0.9253
77,0.170695657,0.8336,0.7227,0.9247
78,0.164579741,0.8416,0.733,0.9271
79,0.182526886,0.821,0.7031,0.9215
80,0.173580779,0.8217,0.7045,0.9223
81,0.17693566,0.8163,0.6988,0.9204
82,0.17465265,0.8195,0.702,0.9206
83,0.16301436,0.8313,0.7165,0.9235
84,0.170782379,0.8357,0.7259,0.9267
85,0.160622312,0.8236,0.7086,0.9253
86,0.172172171,0.8236,0.7069,0.9228
87,0.160530266,0.8378,0.7277,0.9257
88,0.156632081,0.8319,0.7198,0.9262
89,0.174086681,0.7856,0.6564,0.915
90,0.17672765,0.8051,0.6836,0.9196
91,0.18322445,0.815,0.6951,0.9204
92,0.17012058,0.8272,0.7119,0.9232
93,0.162672473,0.8341,0.7218,0.9252
94,0.177204513,0.8013,0.6801,0.9196
95,0.168946346,0.82,0.7036,0.9236
96,0.158170961,0.8367,0.7238,0.9274
97,0.174997632,0.8159,0.6961,0.9211
98,0.159121004,0.8417,0.7316,0.928
